SURVEY,STATEID,DISTID,PSUID,HHID,HHSPLITID,PERSONID,IDPSU,IDHH,IDPERSON,WT,FWT,DIST01,DISTRICT,RO3,RO4,RO5,RO6,RO7,RO8,RO9,RO10,FM1,FM36Y,FM37,FM38,FMHOURS,WKFARM,FM39AY,AN1,AN5Y,AN6,AN7Y,NF1,NFBN1,NF9,NF12,NF13,NF15Y,NFBN21,NF29,NF32,NF33,NF35Y,NFBN41,NF49,NF52,NF53,NFDAYS,NFHOURS,NF55Y,IN11S1,IN13S1,IN11S2,IN13S2,IN11S3,IN13S3,IN11S4,IN13S4,IN11S5,IN13S5,IN11S6,IN13S6,IN11S7,IN13S7,IN11S8,IN13S8,IN18,IN19,IN20,IN21,IN22,IN23,IN24,ED2,ED3,ED4,ED5,ED6,EDUC7,EDUNDER1,ED7,ED8,ED9,ED10,ED11,ED12,ED13,MM7Y,MM8,MM9,MM12Y,MM13,MM14,TA3,TA4,TA5,TA6,TA8A,TA8B,TA9A,TA9B,TA10A,TA10B,CS3,CS3Y,CS4,CS5,CS6,CS7,CS8,CS9,CS10,CS11,CS12,CS13,CS16,CS17,CS18,CS19,CS20,CS21,CS22,CS23,CS24,CS25,CS26,CS27,CS28,CH2,CH3,CH4A,CH4B,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH22,SM3,SM4,SM5,SM6,SM7,SM8,SM9,SM10,SM11,SM12,SM14A,SM14B,SM15A,SM15B,SM16,SM17,SM18,SM19,SM20,SM21,SM22,MB3,MB4,MB5,MB6,MB7,MB8,MB9,MB10,MB11,MB12,MB13,MB14,MB15,MB16,MB17,MB18,MB19,MB21A,MB21B,MB22A,MB22B,MB23,MB24,MB25,MB26,MB27,MB28,MB29,AD3,AD4,AD5,AD6,AD7,AD8,AD9,TO3,TO4,TO5,TO6,AP2,AP3,AP5,AP6,AP7,AP8,AP9,EW3Y,URBAN2011,URBAN4_2011,METRO,METRO6,POVLINE2005,POVLINE2012,DEFLATOR,NPERSONS,EWELIGIBLE,EWQELIGIBLE,ID11,ID13,GROUPS,NF5,NF25,NF45,COTOTAL,COPC,ASSETS,ASSETS2005,INCCROP,INCAGPROP,INCANIMAL,INCAG,INCBUS,INCOTHER,INCEARN,INCBENEFITS,INCREMIT,INCOME,INCOMEPC,WKANIMAL,WKBUSINESS,WS3NM,WS4,WS5,WS7,WS7MONTHS,WS8,WS8YEAR,WS9,WS10,WS10ANNUAL,WSEARN,WSEARNHOURLY,WS11,WS11MEALS,WS11HOUSE,WS11MEALSRS,WS11HOUSERS,WS12,WS13,WS14,WS15,WS7AGLAB,WS8AGLAB,WSEARNAGLAB,WKAGLAB,WS7NONAG,WS8NONAG,WSEARNNONAG,WKNONAG,WS7SALARY,WS8SALARY,WSEARNSALARY,WKSALARY,WS7NREGA,WS8NREGA,WSEARNNREGA,WKNREGA,WKDAYS,WKHOURS,WKANY5,RSUNEARN,MHEADAGE,FHEADAGE,NADULTM,NADULTF,NCHILDM,NCHILDF,NTEENM,NTEENF,NELDERM,NELDERF,NMARRIEDM,NMARRIEDF,NWKNONAG,NWKAGLAB,NWKSALARY,NWKBUSINESS,NWKFARM,NWKANIMAL,NWKNREGA,NWKNREGA4,NWKNONNREGA,NWKANY5,INCNONAG,INCAGLAB,INCSALARY,INCNREGA,INCNONNREGA,NNR,HHEDUC,HHEDUCM,HHEDUCF,MG4,MG5,MG6,MG7,MG8,MG9NM,MG10,MG11,MGYEAR5,NMIG5,MGMONTHS5,MGYEAR1,NMIG1,MGMONTHS1,STM_score,CDI_score,ADL_score,PHYSICAL_HEALTH_RAW,PHYSICAL_HEALTH_IDX,PHI_INT,Log_COPC,Log_INCOMEPC,OCC_group,OCC_Agricultural,OCC_Wage,OCC_Self_employed,OCC_Salaried,OOP_STM,OOP_MB,OOP_TOTAL,OOP_SHARE,CAT_EXP,UNTREATED,DAYS_LOST,PROVIDER_PRIVATE,PROVIDER_GOVT,ACC_dist_score,ACC_gap_score,ACC_fin_score,HEALTH_ACCESS_IDX,_state
IHDS-II 2,Assam 18,2,1,30,1,1.0,180201,1802010301,180201030101,3327.37392744,3327.0,2.0,Dhubri,1,1,56.0,1.0,8.0,2.0,Dead,Dead,0,-1,,,,0,-1,1,0,0,0,0,0,-1,,,-1,0,-1.0,,,-1,0,-1.0,,,0.0,0.0,-1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,-1,,,1,0,1,0,7,8,0,0,.a,-1,-1,-1,-1,.a,0,-1,-1,1,0,0,,,-1,-1,,-1,,-1,,-1,-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0,0,-1,0,-1,-1,-1,0.0,0,-1,-1,,,,,0.0,-1,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,30.0,1,Govt Doc/Nurse 1,Other Town,Govt Doc/Nurse 1,Other Town,Other Allopathic 3,10.0,0.0,,50000.0,3000.0,0.0,0,0,0,0,0,0,0,-1,-1,-1,-1,,,150.19999694825,150.19999694825,Standing 2,62.29999923707,62.0,No 0,0,3,non-metro,,478.0,899.0,0.5133135914803,4.0,No 0,No 0,Hindu 1,Scheduled Castes (SC) 4,Dalit 4,,,,170664.0,42666.0,19.0,18.0,,,-2400.0,-2400.0,,0.0,36000.0,0.0,,33600.0,8400.0,none 0,none 0,ASO OFFICE BILASHI PARA,Unidentifiable occ X1,Air transport 72,60.0,2.400000095367,6.0,360.0,Per Month 2,15000.0,36000.0,36000.0,100.0,No,No 0,No 0,0.0,0.0,0.0,Regular/Permanent/Longer contract,Govt/PSU 1,30.0,,,,none 0,,,,none 0,60.0,360.0,36000.0,parttime 3,,,,none 0,60.0,360.0,parttime 3,-2400.0,56.0,50.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,36000.0,0.0,0.0,0,11,11.0,0.0,,,,,,,,,No 0,,,No 0,,,0.0,0.2222222222222222,0.0,0.074074074074074,0.0888888888888888,1.2107977987443586,10.661181066703127,9.035986984831405,Salaried,0.0,0.0,0.0,1.0,0.0,53000.0,53000.0,31.055172737074017,1.0,0.0,30.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,Assam
IHDS-II 2,Assam 18,2,1,40,1,2.0,180201,1802010401,180201040102,3327.37392744,3327.0,2.0,Dhubri,2,2,60.0,1.0,11.0,1.0,Dead,,0,-1,,,,0,-1,1,1,2,1,1,1,0,,,0,0,-1.0,,,-1,0,-1.0,,,0.0,0.0,-1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,-1,,,1,0,1,0,3,3,0,-1,.a,-1,-1,-1,-1,.a,0,-1,-1,0,-1,-1,,,-1,-1,,-1,,-1,,-1,-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,1,1,1,0,-1,-1,-1,30.0,1,1,2,,,Antibiotic 2,0.0,1000.0,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,,,,,,,0.0,,0.0,0.0,0.0,0,0,0,0,0,0,0,1,2,1,1,Main quest. 1,,145.39999389649,145.39999389649,Standing 2,45.70000076294,45.70000076294,No 0,0,3,non-metro,,478.0,899.0,0.5133135914803,2.0,No 0,No 0,Hindu 1,Scheduled Castes (SC) 4,Dalit 4,50000.0,,,42008.0,21004.0,8.0,8.0,,,0.0,0.0,50000.0,0.0,,0.0,,50000.0,25000.0,parttime 3,none 0,,,,,,,,,,,,,,,,,,,,,,,,,none 0,,,,none 0,,,,none 0,,,,none 0,0.0,0.0,none 0,50000.0,75.0,60.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,4,4.0,3.0,,,,,,,,,No 0,,,No 0,,,0.8,0.0,0.0,0.2666666666666666,0.24,2.3599856975630744,9.952515783603483,10.126631103850338,Inactive,0.0,0.0,0.0,0.0,1000.0,0.0,1000.0,2.380498952580461,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Assam
IHDS-II 2,Assam 18,2,1,40,2,2.0,180201,1802010402,180201040202,3327.37392744,3327.0,2.0,Dhubri,2,2,30.0,1.0,11.0,1.0,,,0,-1,,,,0,-1,1,1,2,1,0,0,-1,,,-1,0,-1.0,,,-1,0,-1.0,,,0.0,0.0,-1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,-1,,,0,0,1,0,5,5,0,0,.a,-1,-1,-1,-1,.a,0,-1,-1,1,0,0,,,-1,-1,,-1,,-1,,-1,-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,1,0,-1,0,-1,-1,-1,5.0,1,1,1,,,Antibiotic 2,0.0,1000.0,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,,,,,,,0.0,,0.0,0.0,0.0,0,0,0,0,0,0,0,-1,-1,-1,-1,Main quest. 1,,150.0,150.0,Standing 2,45.70000076294,45.90000152588,Yes 1,0,3,non-metro,,478.0,899.0,0.5133135914803,5.0,Yes 1,Yes 1,Hindu 1,Scheduled Castes (SC) 4,Dalit 4,,,,91300.0,18260.0,17.0,16.0,,,-500.0,-500.0,,0.0,75650.0,0.0,,75150.0,15030.0,parttime 3,none 0,,,,,,,,,,,,,,,,,,,,,,,,,none 0,,,,none 0,,,,none 0,,,,none 0,0.0,0.0,none 0,75150.0,40.0,30.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,75650.0,0.0,0.0,0,5,0.0,5.0,,,,,,,,,No 0,,,No 0,,,0.3666666666666667,0.0,0.0,0.1222222222222222,0.11,1.2786167854089303,9.812522917162035,9.61780348274702,Inactive,0.0,0.0,0.0,0.0,1000.0,0.0,1000.0,1.095290251916758,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Assam
IHDS-II 2,Assam 18,2,1,50,1,1.0,180201,1802010501,180201050101,3327.37392744,3327.0,2.0,Dhubri,1,1,50.0,1.0,11.0,2.0,Dead,IF Spouse/Parent outside for more than 6 months,0,-1,,,,0,-1,1,1,2,1,0,0,-1,,,-1,0,-1.0,,,-1,0,-1.0,,,0.0,0.0,-1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,1.0,100.0,7.0,2,1.0,,1,0,1,0,2,3,0,-1,.a,-1,-1,-1,-1,.a,0,-1,-1,1,0,0,,,-1,-1,,-1,,-1,,-1,-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0,0,-1,0,-1,-1,-1,0.0,0,-1,-1,,,,,0.0,-1,0.0,0.0,0.0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,8.0,1,Govt Doc/Nurse 1,Other Town,,,Antibiotic 2,0.0,2000.0,Yes 1,0.0,0.0,0.0,0,0,0,0,0,0,0,-1,-1,-1,-1,,,150.10000610352,150.10000610352,Standing 2,59.09999847413,59.09999847413,No 0,0,3,non-metro,,478.0,899.0,0.5133135914803,2.0,No 0,No 0,Hindu 1,Scheduled Castes (SC) 4,Dalit 4,,,,55940.0,27970.0,16.0,16.0,,,400.0,400.0,,0.0,,0.0,,400.0,200.0,parttime 3,none 0,,,,,,,,,,,,,,,,,,,,,,,,,none 0,,,,none 0,,,,none 0,,,,none 0,0.0,0.0,none 0,400.0,50.0,45.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3,2.0,3.0,,,,,,,,,No 0,,,No 0,,,0.0,0.1111111111111111,0.0,0.037037037037037,0.0444444444444444,1.002585153268008,10.23892353814896,5.298317366548036,Inactive,0.0,0.0,0.0,0.0,0.0,2000.0,2000.0,3.575259206292456,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,Assam
IHDS-II 2,Assam 18,2,1,50,1,2.0,180201,1802010501,180201050102,3327.37392744,3327.0,2.0,Dhubri,2,2,45.0,1.0,11.0,1.0,,,0,-1,,,,0,-1,1,1,2,0,0,0,-1,,,-1,0,-1.0,,,-1,0,-1.0,,,0.0,0.0,-1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,-1,,,1,0,1,0,3,3,0,-1,.a,-1,-1,-1,-1,.a,0,-1,-1,0,-1,-1,,,-1,-1,,-1,,-1,,-1,-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0,0,-1,0,-1,-1,-1,0.0,0,-1,-1,,,,,0.0,-1,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,10.0,1,Govt Doc/Nurse 1,Home,,,Antibiotic 2,0.0,5000.0,Yes 1,0.0,0.0,0.0,0,0,0,0,0,0,0,-1,-1,-1,-1,Main quest. 1,,140.10000610352,140.10000610352,Standing 2,63.70000076294,63.70000076294,Yes 1,0,3,non-metro,,478.0,899.0,0.5133135914803,2.0,Yes 1,Yes 1,Hindu 1,Scheduled Castes (SC) 4,Dalit 4,,,,55940.0,27970.0,16.0,16.0,,,400.0,400.0,,0.0,,0.0,,400.0,200.0,parttime 3,none 0,,,,,,,,,,,,,,,,,,,,,,,,,none 0,,,,none 0,,,,none 0,,,,none 0,0.0,0.0,none 0,400.0,50.0,45.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3,2.0,3.0,,,,,,,,,No 0,,,No 0,,,0.0,0.1111111111111111,0.0,0.037037037037037,0.0444444444444444,1.002585153268008,10.23892353814896,5.298317366548036,Inactive,0.0,0.0,0.0,0.0,0.0,5000.0,5000.0,8.93814801573114,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,Assam
IHDS-II 2,Assam 18,2,1,80,1,1.0,180201,1802010801,180201080101,3327.37392744,3327.0,2.0,Dhubri,1,1,61.0,1.0,1.0,2.0,Dead,Dead,1,1,90.0,9.0,810.0,3,1,1,1,2,1,0,0,-1,,,-1,0,-1.0,,,-1,0,-1.0,,,0.0,0.0,-1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,-1,,,1,1,1,0,9,8,0,-1,.a,-1,-1,-1,-1,.a,0,-1,-1,0,-1,-1,,,-1,-1,,-1,,-1,,-1,-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1,0,-1,0,-1,-1,-1,5.0,0,-1,-1,,,,,0.0,-1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,,,,,,,0.0,,0.0,0.0,0.0,0,0,0,0,0,0,0,1,1,4,1,,,160.19999694825,160.19999694825,Standing 2,58.5,58.29999923707,No 0,0,3,non-metro,,478.0,899.0,0.5133135914803,9.0,No 0,No 0,Hindu 1,Scheduled Castes (SC) 4,Dalit 4,,,,60496.0,6721.777832,12.0,12.0,500.0,0.0,-300.0,200.0,,0.0,7500.0,0.0,,7700.0,855.555542,parttime 3,none 0,,,,,,,,,,,,,,,,,,,,,,,,,none 0,,,,none 0,,,,none 0,,,,none 0,90.0,810.0,parttime 3,7353.846191,61.0,53.0,3.0,3.0,2.0,1.0,0.0,0.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,2.0,7500.0,0.0,0.0,7500.0,0.0,0,12,12.0,9.0,,,,,,,,,No 0,,,No 0,,,0.2733333333333333,0.0,0.0,0.0911111111111111,0.0819999999999999,1.1580867440894398,8.813256715961382,6.7517510146614,Agricultural,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3333333333333333,Assam
IHDS-II 2,Assam 18,2,1,80,1,2.0,180201,1802010801,180201080102,3327.37392744,3327.0,2.0,Dhubri,2,2,53.0,1.0,11.0,1.0,,,1,0,,,,0,0,1,0,0,0,0,0,-1,,,-1,0,-1.0,,,-1,0,-1.0,,,0.0,0.0,-1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,-1,,,1,0,1,0,0,none 0,1,-1,.a,-1,-1,-1,-1,.a,0,-1,-1,0,-1,-1,,,-1,-1,,-1,,-1,,-1,-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1,0,-1,0,-1,-1,-1,5.0,0,-1,-1,,,,,0.0,-1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,,,,,,,0.0,,0.0,0.0,0.0,0,0,0,0,0,0,0,-1,-1,-1,-1,,,150.10000610352,150.10000610352,Standing 2,51.40000152588,51.40000152588,No 0,0,3,non-metro,,478.0,899.0,0.5133135914803,9.0,No 0,No 0,Hindu 1,Scheduled Castes (SC) 4,Dalit 4,,,,60496.0,6721.777832,12.0,12.0,500.0,0.0,-300.0,200.0,,0.0,7500.0,0.0,,7700.0,855.555542,none 0,none 0,,,,,,,,,,,,,,,,,,,,,,,,,none 0,,,,none 0,,,,none 0,,,,none 0,0.0,0.0,none 0,7700.0,61.0,53.0,3.0,3.0,2.0,1.0,0.0,0.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,2.0,7500.0,0.0,0.0,7500.0,0.0,0,12,12.0,9.0,,,,,,,,,No 0,,,No 0,,,0.26,0.0,0.0,0.0866666666666666,0.078,1.1403538897985912,8.813256715961382,6.7517510146614,Inactive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3333333333333333,Assam
IHDS-II 2,Assam 18,2,1,80,1,8.0,180201,1802010801,180201080108,3327.37392744,3327.0,2.0,Dhubri,1,5,3.0,2.0,14.0,,7.0,9.0,1,0,,,,0,0,1,0,0,0,0,0,-1,,,-1,0,-1.0,,,-1,0,-1.0,,,0.0,0.0,-1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,-1,,,0,0,0,-1,0,none 0,0,-1,.a,-1,-1,-1,-1,.a,0,-1,-1,0,-1,-1,,,-1,-1,,-1,,-1,,-1,-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1,1,0,0,-1,-1,-1,7.0,1,7,1,,,Homeopathy 5,0.0,0.0,0,50.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,,,,,,,0.0,,0.0,0.0,0.0,0,0,0,0,0,0,0,-1,-1,-1,-1,,,40.59999847413,40.5,Standing 2,8.10000038147,8.0,No 0,0,3,non-metro,,478.0,899.0,0.5133135914803,9.0,No 0,No 0,Hindu 1,Scheduled Castes (SC) 4,Dalit 4,,,,60496.0,6721.777832,12.0,12.0,500.0,0.0,-300.0,200.0,,0.0,7500.0,0.0,,7700.0,855.555542,none 0,none 0,,,,,,,,,,,,,,,,,,,,,,,,,none 0,,,,none 0,,,,none 0,,,,none 0,0.0,0.0,none 0,7700.0,61.0,53.0,3.0,3.0,2.0,1.0,0.0,0.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,2.0,7500.0,0.0,0.0,7500.0,0.0,0,12,12.0,9.0,,,,,,,,,No 0,,,No 0,,,0.5,0.0,0.0,0.1666666666666666,0.15,1.575053770783952,8.813256715961382,6.7517510146614,Inactive,0.0,0.0,0.0,0.0,50.0,0.0,50.0,0.08265009256810368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Assam
IHDS-II 2,Assam 18,2,1,90,1,1.0,180201,1802010901,180201090101,3327.37392744,3327.0,2.0,Dhubri,1,1,54.0,3.0,6.0,Dead,Dead,Dead,0,-1,,,,0,-1,0,-1,-1,-1,0,0,-1,,,-1,0,-1.0,,,-1,0,-1.0,,,0.0,0.0,-1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,-1,,,1,0,1,0,7,8,0,-1,.a,-1,-1,-1,-1,.a,0,-1,-1,0,-1,-1,,,-1,-1,,-1,,-1,,-1,-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,1,1,0,0,-1,-1,-1,5.0,1,4,2,,,Other Allopathic 3,0.0,300.0,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,,,,,,,0.0,,0.0,0.0,0.0,0,0,0,0,0,0,0,1,1,4,1,,,,,,,,No 0,0,3,non-metro,,478.0,899.0,0.5133135914803,4.0,No 0,No 0,Hindu 1,Scheduled Castes (SC) 4,Dalit 4,,,,107988.0,26997.0,17.0,16.0,,,0.0,0.0,,0.0,50400.0,0.0,,50400.0,12600.0,none 0,none 0,,,,,,,,,,,,,,,,,,,,,,,,,none 0,,,,none 0,,,,none 0,,,,none 0,0.0,0.0,none 0,50400.0,54.0,,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,50400.0,0.0,0.0,0.0,50400.0,2,10,10.0,7.0,,,,,,,,,No 0,,,No 0,,,0.5,0.0,0.0,0.1666666666666666,0.15,1.575053770783952,10.203518068168773,9.441452092939569,Self-employed,0.0,0.0,1.0,0.0,300.0,0.0,300.0,0.277808645405045,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Assam
IHDS-II 2,Assam 18,2,1,90,1,2.0,180201,1802010901,180201090102,3327.37392744,3327.0,2.0,Dhubri,1,3,30.0,1.0,5.0,3.0,1.0,Dead,0,-1,,,,0,-1,0,-1,-1,-1,0,0,-1,,,-1,0,-1.0,,,-1,0,-1.0,,,0.0,0.0,-1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,-1,,,1,1,1,0,10,10,0,-1,.d,-1,-1,-1,-1,.d,0,-1,-1,1,0,0,,,-1,-1,,-1,,-1,,-1,-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0,0,-1,0,-1,-1,-1,0.0,0,-1,-1,,,,,0.0,-1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,30.0,1,Pvt Doc/Nurse 3,This village or Neighbourhood,,,Other Allopathic 3,0.0,7000.0,Yes 1,0.0,0.0,0.0,0,0,0,0,0,0,0,3,1,4,1,,,170.19999694825,170.19999694825,Standing 2,51.70000076294,51.70000076294,No 0,0,3,non-metro,,478.0,899.0,0.5133135914803,4.0,No 0,No 0,Hindu 1,Scheduled Castes (SC) 4,Dalit 4,,,,107988.0,26997.0,17.0,16.0,,,0.0,0.0,,0.0,50400.0,0.0,,50400.0,12600.0,none 0,none 0,MASON,Construction 95,Construction 50,180.0,7.199999809265,8.0,1440.0,Per Day 1,280.0,50400.0,50400.0,35.0,No,No 0,No 0,0.0,0.0,0.0,Casual daily 1,Private employer 3,600.0,,,,none 0,180.0,1440.0,50400.0,parttime 3,,,,none 0,,,,none 0,180.0,1440.0,parttime 3,0.0,54.0,,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,50400.0,0.0,0.0,0.0,50400.0,2,10,10.0,7.0,same state 1,urban 1,Alone 1,4.0,0.0,MASON,Construction 95,With a job or Self Employed 2,Yes 1,4.0,7.0,Yes 1,1.0,4.0,0.0,0.1111111111111111,0.0,0.037037037037037,0.0444444444444444,1.002585153268008,10.203518068168773,9.441452092939569,Self-employed,0.0,0.0,1.0,0.0,0.0,7000.0,7000.0,6.482201726117717,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,Assam
