SURVEY,STATEID,DISTID,PSUID,HHID,HHSPLITID,PERSONID,IDPSU,IDHH,IDPERSON,WT,FWT,DIST01,DISTRICT,RO3,RO4,RO5,RO6,RO7,RO8,RO9,RO10,FM1,FM36Y,FM37,FM38,FMHOURS,WKFARM,FM39AY,AN1,AN5Y,AN6,AN7Y,NF1,NFBN1,NF9,NF12,NF13,NF15Y,NFBN21,NF29,NF32,NF33,NF35Y,NFBN41,NF49,NF52,NF53,NFDAYS,NFHOURS,NF55Y,IN11S1,IN13S1,IN11S2,IN13S2,IN11S3,IN13S3,IN11S4,IN13S4,IN11S5,IN13S5,IN11S6,IN13S6,IN11S7,IN13S7,IN11S8,IN13S8,IN18,IN19,IN20,IN21,IN22,IN23,IN24,ED2,ED3,ED4,ED5,ED6,EDUC7,EDUNDER1,ED7,ED8,ED9,ED10,ED11,ED12,ED13,MM7Y,MM8,MM9,MM12Y,MM13,MM14,TA3,TA4,TA5,TA6,TA8A,TA8B,TA9A,TA9B,TA10A,TA10B,CS3,CS3Y,CS4,CS5,CS6,CS7,CS8,CS9,CS10,CS11,CS12,CS13,CS16,CS17,CS18,CS19,CS20,CS21,CS22,CS23,CS24,CS25,CS26,CS27,CS28,CH2,CH3,CH4A,CH4B,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH22,SM3,SM4,SM5,SM6,SM7,SM8,SM9,SM10,SM11,SM12,SM14A,SM14B,SM15A,SM15B,SM16,SM17,SM18,SM19,SM20,SM21,SM22,MB3,MB4,MB5,MB6,MB7,MB8,MB9,MB10,MB11,MB12,MB13,MB14,MB15,MB16,MB17,MB18,MB19,MB21A,MB21B,MB22A,MB22B,MB23,MB24,MB25,MB26,MB27,MB28,MB29,AD3,AD4,AD5,AD6,AD7,AD8,AD9,TO3,TO4,TO5,TO6,AP2,AP3,AP5,AP6,AP7,AP8,AP9,EW3Y,URBAN2011,URBAN4_2011,METRO,METRO6,POVLINE2005,POVLINE2012,DEFLATOR,NPERSONS,EWELIGIBLE,EWQELIGIBLE,ID11,ID13,GROUPS,NF5,NF25,NF45,COTOTAL,COPC,ASSETS,ASSETS2005,INCCROP,INCAGPROP,INCANIMAL,INCAG,INCBUS,INCOTHER,INCEARN,INCBENEFITS,INCREMIT,INCOME,INCOMEPC,WKANIMAL,WKBUSINESS,WS3NM,WS4,WS5,WS7,WS7MONTHS,WS8,WS8YEAR,WS9,WS10,WS10ANNUAL,WSEARN,WSEARNHOURLY,WS11,WS11MEALS,WS11HOUSE,WS11MEALSRS,WS11HOUSERS,WS12,WS13,WS14,WS15,WS7AGLAB,WS8AGLAB,WSEARNAGLAB,WKAGLAB,WS7NONAG,WS8NONAG,WSEARNNONAG,WKNONAG,WS7SALARY,WS8SALARY,WSEARNSALARY,WKSALARY,WS7NREGA,WS8NREGA,WSEARNNREGA,WKNREGA,WKDAYS,WKHOURS,WKANY5,RSUNEARN,MHEADAGE,FHEADAGE,NADULTM,NADULTF,NCHILDM,NCHILDF,NTEENM,NTEENF,NELDERM,NELDERF,NMARRIEDM,NMARRIEDF,NWKNONAG,NWKAGLAB,NWKSALARY,NWKBUSINESS,NWKFARM,NWKANIMAL,NWKNREGA,NWKNREGA4,NWKNONNREGA,NWKANY5,INCNONAG,INCAGLAB,INCSALARY,INCNREGA,INCNONNREGA,NNR,HHEDUC,HHEDUCM,HHEDUCF,MG4,MG5,MG6,MG7,MG8,MG9NM,MG10,MG11,MGYEAR5,NMIG5,MGMONTHS5,MGYEAR1,NMIG1,MGMONTHS1,STM_score,CDI_score,ADL_score,PHYSICAL_HEALTH_RAW,PHYSICAL_HEALTH_IDX,PHI_INT,Log_COPC,Log_INCOMEPC,OCC_group,OCC_Agricultural,OCC_Wage,OCC_Self_employed,OCC_Salaried,OOP_STM,OOP_MB,OOP_TOTAL,OOP_SHARE,CAT_EXP,UNTREATED,DAYS_LOST,PROVIDER_PRIVATE,PROVIDER_GOVT,ACC_dist_score,ACC_gap_score,ACC_fin_score,HEALTH_ACCESS_IDX,_state
IHDS-II 2,Bihar 10,2,1,11,1,1.0,100201,1002010111,100201011101,10620.48826063,10620.0,2.0,Purbi Champaran,2,1,65.0,3,14,Dead,,,0,-1,,,,0,-1,0,-1,-1,-1,0,0,-1,,,-1,0,-1.0,,,-1,0,-1,,,0.0,0.0,-1,0,0.0,1,2400.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,-1,,,0,0,0,-1,0,none 0,0,-1,.a,-1,-1,-1,-1,.a,0,-1,-1,0,-1,-1,,,-1,-1,,-1,,-1,,-1,-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1,0,-1,1,0,-1,-1,3.0,1,3,2,,,Antibiotic 2,0.0,100.0,1,80.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,,,,,,,0.0,,0.0,0.0,0.0,1,0,0,0,0,0,1,-1,-1,-1,-1,,,146.19999694825,146.19999694825,Standing 2,53.29999923707,53.29999923707,No 0,0,3,non-metro,,433.42999267579,778.0,0.5869565010071,2.0,No 0,No 0,Hindu 1,Brahmin 1,Brahmin 1,,,,17842.8007813,8921.4003906,6.0,6.0,,,0.0,0.0,,0.0,,2400.0,9000.0,11400.0,5700.0,none 0,none 0,,,,,,,,,,,,,,,,,,,,,,,,,none 0,,,,none 0,,,,none 0,,,,none 0,0.0,0.0,none 0,11400.0,,65.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,,0.0,,,,,,,,,No 0,,,No 0,,,0.26,0.0,0.1666666666666666,0.1422222222222222,0.117,0.7689769332862971,9.096320291457785,8.648221453822641,Inactive,0.0,0.0,0.0,0.0,180.0,0.0,180.0,1.008810232240263,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Bihar
IHDS-II 2,Bihar 10,2,1,11,1,2.0,100201,1002010111,100201011102,10620.48826063,10620.0,2.0,Purbi Champaran,2,5,17.0,2,11,,Dead,Dead,0,-1,,,,0,-1,0,-1,-1,-1,0,0,-1,,,-1,0,-1.0,,,-1,0,-1,,,0.0,0.0,-1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,-1,,,1,0,1,0,5,5,0,0,.a,-1,-1,-1,-1,.a,0,-1,-1,1,0,0,,,-1,-1,,-1,,-1,,-1,-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1,0,-1,0,-1,-1,-1,2.0,1,3,2,,,Antibiotic 2,0.0,80.0,1,60.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,,,,,,,0.0,,0.0,0.0,0.0,0,0,0,0,0,0,0,-1,-1,-1,-1,,,,,,,,No 0,0,3,non-metro,,433.42999267579,778.0,0.5869565010071,2.0,No 0,No 0,Hindu 1,Brahmin 1,Brahmin 1,,,,17842.8007813,8921.4003906,6.0,6.0,,,0.0,0.0,,0.0,,2400.0,9000.0,11400.0,5700.0,none 0,none 0,,,,,,,,,,,,,,,,,,,,,,,,,none 0,,,,none 0,,,,none 0,,,,none 0,0.0,0.0,none 0,11400.0,,65.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,,0.0,,,,,,,,,No 0,,,No 0,,,0.24,0.0,0.0,0.08,0.108,0.7079317532227443,9.096320291457785,8.648221453822641,Inactive,0.0,0.0,0.0,0.0,140.0,0.0,140.0,0.7846301806313157,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Bihar
IHDS-II 2,Bihar 10,2,1,21,1,7.0,100201,1002010211,100201021107,10620.48826063,10620.0,2.0,Purbi Champaran,1,3,22.0,2,4,,1.0,2.0,1,1,100.0,8.0,800.0,3,0,1,1,1,0,0,0,-1,,,-1,0,-1.0,,,-1,0,-1,,,0.0,0.0,-1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,-1,,,0,0,0,-1,0,none 0,0,-1,.a,-1,-1,-1,-1,.a,0,-1,-1,0,-1,-1,,,-1,-1,,-1,,-1,,-1,-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,1,1,0,0,-1,-1,-1,30.0,1,2,3,Govt Doc/Nurse in Pvt 2,Another Village,Other Allopathic 3,0.0,400.0,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,,,,,,,0.0,,0.0,0.0,0.0,0,0,0,0,0,0,0,-1,-1,-1,-1,,,,,,,,No 0,0,3,non-metro,,433.42999267579,778.0,0.5869565010071,11.0,No 0,No 0,Hindu 1,Brahmin 1,Brahmin 1,,,,66458.0,6041.6362305,9.0,9.0,-3230.0,2400.0,7500.0,6670.0,,0.0,22400.0,1400.0,,30470.0,2770.0,<240hrs 2,none 0,FURNITURE BANANE KA KARYA,Carpenters 81,Manf wood/furniture 27,160.0,6.400000095367,9.0,1440.0,Per Day 1,140.0,22400.0,22400.0,15.5555553436,No,No 0,No 0,0.0,0.0,0.0,Casual daily 1,Private employer 3,25.0,,,,none 0,160.0,1440.0,22400.0,parttime 3,,,,none 0,,,,none 0,260.0,2240.0,ft yr 4,5217.222656,60.0,55.0,3.0,2.0,2.0,3.0,1.0,0.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,3.0,22400.0,0.0,0.0,0.0,22400.0,0,9.0,9.0,8.0,,,,,,,,,No 0,,,No 0,,,1.0,0.0,0.0,0.3333333333333333,0.45,2.906993704799674,8.706595657710338,7.926602599181384,Wage,0.0,1.0,0.0,0.0,400.0,0.0,400.0,0.6018838965963466,0.0,0.0,0.0,0.0,1.0,0.25,0.0,0.0,0.08333333333333333,Bihar
IHDS-II 2,Bihar 10,2,1,31,1,2.0,100201,1002010311,100201031102,10620.48826063,10620.0,2.0,Purbi Champaran,2,2,45.0,1,3,1.0,,,0,-1,,,,0,-1,0,-1,-1,-1,0,0,-1,,,-1,0,-1.0,,,-1,0,-1,,,0.0,0.0,-1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,-1,,,0,0,0,-1,0,none 0,0,-1,.a,-1,-1,-1,-1,.a,0,-1,-1,0,-1,-1,,,-1,-1,,-1,,-1,,-1,-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0,0,-1,0,-1,-1,-1,0.0,0,-1,-1,,,,,0.0,-1,0.0,0.0,0.0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.0,1,Pvt Doc/Nurse 3,Another Village,Pvt Doc/Nurse 3,Another Village,Antibiotic 2,0.0,2000.0,Yes 1,1000.0,500.0,0.0,0,0,0,0,0,0,0,-1,-1,-1,-1,Main quest. 1,,137.0,137.19999694825,Standing 2,40.90000152588,40.90000152588,Yes 1,0,3,non-metro,,433.42999267579,778.0,0.5869565010071,6.0,Yes 1,Yes 1,Hindu 1,Other Backward Castes (OBC) 3,OBC 3,,,,66610.0,11101.6669922,6.0,6.0,,,0.0,0.0,,0.0,51200.0,1300.0,40000.0,92500.0,15416.6669922,none 0,none 0,KRISHI MAJDURI,Ag labour 63,Agriculture 0,120.0,4.800000190735,8.0,960.0,Per Day 1,80.0,9600.0,9600.0,10.0,No,No 0,No 0,0.0,0.0,0.0,Casual daily 1,Private employer 3,30.0,120.0,960.0,9600.0,parttime 3,,,,none 0,,,,none 0,,,,none 0,120.0,960.0,parttime 3,82900.0,50.0,45.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,21600.0,29600.0,0.0,3600.0,18000.0,3,0.0,0.0,0.0,,,,,,,,,No 0,,,No 0,,,0.0,0.1111111111111111,0.0,0.037037037037037,0.0611111111111111,0.6013359572669573,9.314940628007884,9.643204475388137,Agricultural,1.0,0.0,0.0,0.0,0.0,3500.0,3500.0,5.254466296351899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bihar
IHDS-II 2,Bihar 10,2,1,51,1,4.0,100201,1002010511,100201051104,10620.48826063,10620.0,2.0,Purbi Champaran,2,4,27.0,1,11,3.0,,,1,0,,,,0,0,1,0,0,0,1,1,0,,,0,0,-1.0,,,-1,0,-1,,,0.0,0.0,-1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,-1,,,1,0,1,0,10,10,0,0,II,-1,-1,-1,-1,.d,0,-1,-1,0,-1,-1,,,-1,-1,,-1,,-1,,-1,-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,1,0,-1,0,-1,-1,-1,30.0,1,4,2,,,Antibiotic 2,0.0,900.0,1,700.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,,,,,,,0.0,,0.0,0.0,0.0,0,0,0,0,0,0,0,-1,-1,-1,-1,Main quest. 1,,142.0,142.0,Standing 2,42.0,42.0,Yes 1,0,3,non-metro,,433.42999267579,778.0,0.5869565010071,11.0,Yes 1,Yes 1,Hindu 1,Brahmin 1,Brahmin 1,48000.0,,,474548.0,43140.7265625,18.0,17.0,35175.0,5000.0,8200.0,48375.0,48000.0,0.0,,16400.0,12000.0,124775.0,11343.1816406,none 0,none 0,,,,,,,,,,,,,,,,,,,,,,,,,none 0,,,,none 0,,,,none 0,,,,none 0,0.0,0.0,none 0,124775.0,53.0,50.0,3.0,4.0,3.0,1.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1,12.0,12.0,10.0,,,,,,,,,No 0,,,No 0,,,0.5333333333333334,0.0,0.0,0.1777777777777778,0.24,1.4977562700000433,10.672245941453356,9.33637210588406,Inactive,0.0,0.0,0.0,0.0,1600.0,0.0,1600.0,0.3371629424209985,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Bihar
IHDS-II 2,Bihar 10,2,1,61,1,1.0,100201,1002010611,100201061101,10620.48826063,10620.0,2.0,Purbi Champaran,2,1,46.0,0,1,50.0,Dead,Dead,1,1,150.0,2.0,300.0,3,1,1,1,2,1,0,0,-1,,,-1,0,-1.0,,,-1,0,-1,,,0.0,0.0,-1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,-1,,,0,0,0,-1,0,none 0,0,-1,.a,-1,-1,-1,-1,.a,0,-1,-1,0,-1,-1,,,-1,-1,,-1,,-1,,-1,-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1,1,0,0,-1,-1,-1,5.0,1,4,2,,,Antibiotic 2,0.0,200.0,0,200.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,,,,,,,0.0,,0.0,0.0,0.0,0,0,0,0,0,0,0,-1,-1,-1,-1,Main quest. 1,,138.0,138.10000610352,Standing 2,47.0,47.0,Yes 1,0,3,non-metro,,433.42999267579,778.0,0.5869565010071,10.0,Yes 1,Yes 1,Hindu 1,Other Backward Castes (OBC) 3,OBC 3,,,,59372.0,5937.2001953,8.0,8.0,-2850.0,80000.0,-20.0,77130.0,,0.0,,750.0,25000.0,102880.0,10288.0,parttime 3,none 0,,,,,,,,,,,,,,,,,,,,,,,,,none 0,,,,none 0,,,,none 0,,,,none 0,150.0,300.0,parttime 3,105730.0,,46.0,1.0,2.0,3.0,2.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,8.0,8.0,3.0,,,,,,,,,No 0,,,No 0,,,0.4866666666666667,0.0,0.0,0.1622222222222222,0.219,1.3116419691828507,8.689161369019454,9.2387334464774,Agricultural,1.0,0.0,0.0,0.0,400.0,0.0,400.0,0.6737182510274203,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Bihar
IHDS-II 2,Bihar 10,2,1,71,1,2.0,100201,1002010711,100201071102,10620.48826063,10620.0,2.0,Purbi Champaran,2,2,54.0,1,11,1.0,,,1,1,80.0,5.0,400.0,3,0,0,-1,-1,-1,0,0,-1,,,-1,0,-1.0,,,-1,0,-1,,,0.0,0.0,-1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,-1,,,0,0,0,-1,0,none 0,0,-1,.a,-1,-1,-1,-1,.a,0,-1,-1,0,-1,-1,,,-1,-1,,-1,,-1,,-1,-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0,0,-1,0,-1,-1,-1,0.0,0,-1,-1,,,,,0.0,-1,0.0,0.0,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,Govt Doc/Nurse in Pvt 2,This village or Neighbourhood,Govt Doc/Nurse in Pvt 2,This village or Neighbourhood,Pain killer/Cough syrup 1,8.0,25000.0,Yes 1,0.0,1000.0,0.0,0,0,0,0,0,0,0,-1,-1,-1,-1,Main quest. 1,,139.5,139.5,Standing 2,42.59999847413,42.20000076294,Yes 1,0,3,non-metro,,433.42999267579,778.0,0.5869565010071,5.0,No 0,No 0,Hindu 1,Other Backward Castes (OBC) 3,OBC 3,,,,49696.0,9939.2001953,2.0,2.0,-1660.0,0.0,0.0,-1660.0,,0.0,21440.0,0.0,1500.0,21280.0,4256.0,none 0,none 0,,,,,,,,,,,,,,,,,,,,,,,,,none 0,,,,none 0,,,,none 0,,,,none 0,80.0,400.0,parttime 3,21657.273438,58.0,54.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,1440.0,20000.0,0.0,1440.0,0.0,1,0.0,0.0,0.0,,,,,,,,,No 0,,,No 0,,,0.0,0.1111111111111111,0.0,0.037037037037037,0.0611111111111111,0.6013359572669573,9.204342439820039,8.35608503102148,Inactive,0.0,0.0,0.0,0.0,0.0,26000.0,26000.0,52.31809401159047,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,Bihar
IHDS-II 2,Bihar 10,2,1,71,2,3.0,100201,1002010712,100201071203,10620.48826063,10620.0,2.0,Purbi Champaran,1,3,10.0,2,12,,1.0,2.0,0,-1,,,,0,-1,0,-1,-1,-1,0,0,-1,,,-1,0,-1.0,,,-1,0,-1,,,0.0,0.0,-1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,-1,,,1,0,1,1,3,3,0,0,.a,-1,-1,-1,-1,.a,0,-1,-1,0,-1,-1,"Yes, currently 1",4.0,1,2,Hindi 1,2,Hindi 1,0,Hindi 1,0,1,1,Government 2,1.0,4th class 4,,Hindi 1,none 0,36.0,6.0,0.0,6.0,,,,,,Yes 1,Yes 1,Yes 1,500.0,0.0,100.0,0.0,0.0,"Yes, currently 2",5.0,,,No 0,Sometimes 2,Male 1,Yes 1,Sometimes 2,Fair 3,Rarely/Never 1,Yes 1,No 0,2.0,Below average 1,Sometimes 2,0.0,,,,1.0,4.0,1,0,-1,0,-1,-1,-1,6.0,1,4,2,,,Antibiotic 2,0.0,1200.0,0,1200.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,,,,,,,0.0,,0.0,0.0,0.0,0,0,0,0,0,0,0,-1,-1,-1,-1,Main quest. 1,1.0,144.19999694825,144.19999694825,Standing 2,35.90000152588,35.40000152588,No 0,0,3,non-metro,,433.42999267579,778.0,0.5869565010071,8.0,No 0,No 0,Hindu 1,Other Backward Castes (OBC) 3,OBC 3,,,,39312.0,4914.0,1.0,1.0,,,0.0,0.0,,0.0,17250.0,500.0,,17750.0,2218.75,none 0,none 0,,,,,,,,,,,,,,,,,,,,,,,,,none 0,,,,none 0,,,,none 0,,,,none 0,0.0,0.0,none 0,17750.0,32.0,30.0,1.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3000.0,14250.0,0.0,0.0,3000.0,0,0.0,0.0,0.0,,,,,,,,,No 0,,,No 0,,,0.2933333333333333,0.0,0.0,0.0977777777777777,0.132,0.8772674690460271,8.500047032581268,7.704699253223726,Inactive,0.0,0.0,0.0,0.0,2400.0,0.0,2400.0,6.105006105006105,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Bihar
IHDS-II 2,Bihar 10,2,1,71,2,5.0,100201,1002010712,100201071205,10620.48826063,10620.0,2.0,Purbi Champaran,2,3,5.0,2,12,,1.0,2.0,0,-1,,,,0,-1,0,-1,-1,-1,0,0,-1,,,-1,0,-1.0,,,-1,0,-1,,,0.0,0.0,-1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,-1,,,1,0,1,1,1,3,0,0,.a,-1,-1,-1,-1,.a,0,-1,-1,0,-1,-1,,,-1,-1,,-1,,-1,,-1,1,1,Government 2,1.0,2nd class 2,,Hindi 1,none 0,36.0,6.0,0.0,5.0,,,,,,Yes 1,Yes 1,Yes 1,0.0,0.0,80.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,20.0,1,1,0,0,-1,-1,-1,10.0,1,4,2,,,Antibiotic 2,0.0,200.0,0,200.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,,,,,,,0.0,,0.0,0.0,0.0,0,0,0,0,0,0,0,-1,-1,-1,-1,Main quest. 1,3.0,121.09999847413,121.09999847413,Standing 2,22.39999961854,22.39999961854,No 0,0,3,non-metro,,433.42999267579,778.0,0.5869565010071,8.0,No 0,No 0,Hindu 1,Other Backward Castes (OBC) 3,OBC 3,,,,39312.0,4914.0,1.0,1.0,,,0.0,0.0,,0.0,17250.0,500.0,,17750.0,2218.75,none 0,none 0,,,,,,,,,,,,,,,,,,,,,,,,,none 0,,,,none 0,,,,none 0,,,,none 0,0.0,0.0,none 0,17750.0,32.0,30.0,1.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3000.0,14250.0,0.0,0.0,3000.0,0,0.0,0.0,0.0,,,,,,,,,No 0,,,No 0,,,0.7333333333333334,0.0,0.0,0.2444444444444444,0.33,2.249432525973676,8.500047032581268,7.704699253223726,Inactive,0.0,0.0,0.0,0.0,400.0,0.0,400.0,1.0175010175010175,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Bihar
IHDS-II 2,Bihar 10,2,1,81,1,2.0,100201,1002010811,100201081102,10620.48826063,10620.0,2.0,Purbi Champaran,2,2,43.0,1,3,1.0,,,0,-1,,,,0,-1,1,1,2,1,0,0,-1,,,-1,0,-1.0,,,-1,0,-1,,,0.0,0.0,-1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,-1,,,0,0,0,-1,0,none 0,0,-1,.a,-1,-1,-1,-1,.a,0,-1,-1,0,-1,-1,,,-1,-1,,-1,,-1,,-1,-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.0,0,0,-1,1,0,2,1,28.0,1,4,1,Chemist4,Home,Pain killer/Cough syrup 1,0.0,900.0,1,0.0,0.0,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,200.0,1,Govt Doc/Nurse in Pvt 2,Another Village,Govt Doc/Nurse in Pvt 2,Another Village,Other Allopathic 3,7.0,10000.0,Yes 1,0.0,0.0,0.0,0,0,0,0,0,0,0,-1,-1,-1,-1,Main quest. 1,,150.0,150.10000610352,Standing 2,32.5,32.5,Yes 1,0,3,non-metro,,433.42999267579,778.0,0.5869565010071,7.0,Yes 1,Yes 1,Hindu 1,Other Backward Castes (OBC) 3,OBC 3,,,,19302.0,2757.4284668,4.0,4.0,,,-870.0,-870.0,,0.0,70000.0,500.0,,69630.0,9947.1425781,parttime 3,none 0,KRISHI MAJDUR,Ag labour 63,Agriculture 0,200.0,8.0,8.0,1600.0,Per Day 1,80.0,16000.0,16000.0,10.0,No,No 0,No 0,0.0,0.0,0.0,Casual daily 1,Private employer 3,30.0,200.0,1600.0,16000.0,parttime 3,,,,none 0,,,,none 0,,,,none 0,200.0,1600.0,parttime 3,53630.0,48.0,43.0,2.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,1.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,4.0,30000.0,40000.0,0.0,0.0,30000.0,0,0.0,0.0,0.0,,,,,,,,,No 0,,,No 0,,,0.56,0.1111111111111111,0.0,0.2237037037037037,0.3131111111111112,2.070821128154627,7.922416400456726,9.205040610828716,Agricultural,1.0,0.0,0.0,0.0,900.0,10000.0,10900.0,56.47083203813076,1.0,0.0,200.0,1.0,0.0,0.0,0.0,1.0,0.3333333333333333,Bihar
