State,N,HAS,Untreated_%,CAT_EXP_%
MN,33,0.2652,42.4,36.4
AR,128,0.196,41.4,6.2
NL,8,0.1562,25.0,12.5
TR,97,0.1177,23.7,7.2
HP,1981,0.1105,6.8,13.4
DH,55,0.1091,7.3,14.5
GJ,1770,0.1056,10.3,12.8
JH,851,0.1023,9.4,11.0
AS,791,0.0992,14.5,7.6
MP,4205,0.0974,6.1,11.1
ML,29,0.092,6.9,6.9
TN,1537,0.0905,3.6,14.6
KA,3636,0.0901,3.1,13.8
HR,2120,0.0899,4.5,10.5
AP,2211,0.0879,2.1,12.9
CH,118,0.0869,0.8,9.3
JK,1080,0.0843,1.9,10.7
SK,126,0.0827,8.7,7.9
RJ,3062,0.0788,3.4,10.0
UT,798,0.0754,6.3,7.3
MH,2436,0.0745,1.9,11.9
BR,2588,0.0738,2.9,12.0
KL,2111,0.0728,4.5,12.9
CG,2360,0.0727,6.0,6.9
ORI,2038,0.072,6.6,9.1
WB,3250,0.0702,9.1,6.0
UP,8131,0.0701,1.6,9.1
D&D,53,0.066,1.9,7.5
DL,1063,0.0593,7.1,6.0
PB,2575,0.0585,1.6,11.1
PON,58,0.0532,3.4,10.3
GA,117,0.0484,0.9,10.3
MZ,4,0.0,0.0,0.0
