State,Full_name,N,PHI,HAS,MHI
MN,Manipur,33,0.1495,0.2652,0.2073
AR,Arunachal Pradesh,128,0.1948,0.196,0.1954
NL,Nagaland,8,0.177,0.1562,0.1666
AS,Assam,791,0.1792,0.0992,0.1392
UP,Uttar Pradesh,8131,0.1905,0.0701,0.1303
JH,Jharkhand,851,0.1534,0.1023,0.1279
MP,Madhya Pradesh,4205,0.1584,0.0974,0.1279
HP,Himachal Pradesh,1981,0.1447,0.1105,0.1276
AP,Andhra Pradesh,2211,0.167,0.0879,0.1275
ML,Meghalaya,29,0.1611,0.092,0.1265
BR,Bihar,2588,0.1774,0.0738,0.1256
TR,Tripura,97,0.1316,0.1177,0.1247
HR,Haryana,2120,0.1572,0.0899,0.1236
CG,Chhattisgarh,2360,0.1736,0.0727,0.1232
KA,Karnataka,3636,0.1559,0.0901,0.123
RJ,Rajasthan,3062,0.1651,0.0788,0.122
MZ,Mizoram,4,0.243,0.0,0.1215
UT,Uttarakhand,798,0.1655,0.0754,0.1204
KL,Kerala,2111,0.1673,0.0728,0.12
WB,West Bengal,3250,0.1683,0.0702,0.1192
MH,Maharashtra,2436,0.1585,0.0745,0.1165
JK,Jammu & Kashmir,1080,0.1465,0.0843,0.1154
ORI,Orissa,2038,0.1577,0.072,0.1149
GJ,Gujarat,1770,0.1237,0.1056,0.1147
TN,Tamil Nadu,1537,0.1384,0.0905,0.1145
DH,Dadra+Nagar Haveli,55,0.1188,0.1091,0.114
PB,Punjab,2575,0.1595,0.0585,0.109
CH,Chandigarh,118,0.1299,0.0869,0.1084
SK,Sikkim,126,0.1256,0.0827,0.1041
DL,Delhi,1063,0.1364,0.0593,0.0979
GA,Goa,117,0.143,0.0484,0.0957
D&D,Daman & Diu,53,0.1231,0.066,0.0946
PON,Pondicherry,58,0.085,0.0532,0.0691
