State,Abbr,N,Sick_N,Sick_pct,PHI_mean,PHI_p90,STM_mean,CDI_mean
Uttar Pradesh,UP,21546,8131,37.7,0.0719,0.24,0.1418,0.0147
Chhattisgarh,CG,6323,2360,37.3,0.0648,0.222,0.1276,0.0134
Uttarakhand,UT,2340,798,34.1,0.0564,0.213,0.1085,0.0138
Bihar,BR,8495,2588,30.5,0.054,0.216,0.1065,0.0111
Kerala,KL,6780,2111,31.1,0.0521,0.204,0.0616,0.0442
West Bengal,WB,10571,3250,30.7,0.0517,0.219,0.0932,0.0179
Punjab,PB,8447,2575,30.5,0.0486,0.207,0.0846,0.0192
Madhya Pradesh,MP,15163,4205,27.7,0.0439,0.201,0.0814,0.0132
Himachal Pradesh,HP,6612,1981,30.0,0.0434,0.198,0.0718,0.02
Chandigarh,CH,358,118,33.0,0.0428,0.192,0.0658,0.0241
Andhra Pradesh,AP,9104,2211,24.3,0.0406,0.1824,0.0745,0.0128
Jammu & Kashmir,JK,4125,1080,26.2,0.0384,0.1627,0.0599,0.0207
Arunachal Pradesh,AR,668,128,19.2,0.0373,0.2079,0.0774,0.0045
Rajasthan,RJ,14340,3062,21.4,0.0353,0.195,0.0678,0.0086
Haryana,HR,9568,2120,22.2,0.0348,0.15,0.0645,0.0106
Orissa,ORI,10023,2038,20.3,0.0321,0.144,0.0581,0.0108
Sikkim,SK,503,126,25.0,0.0315,0.1222,0.048,0.0179
Delhi,DL,4636,1063,22.9,0.0313,0.126,0.0554,0.0116
Karnataka,KA,18190,3636,20.0,0.0312,0.138,0.0518,0.0143
Assam,AS,4651,791,17.0,0.0305,0.141,0.0571,0.0087
Jharkhand,JH,4442,851,19.2,0.0294,0.132,0.056,0.0076
Tamil Nadu,TN,7634,1537,20.1,0.0279,0.1222,0.0432,0.0153
Maharashtra,MH,15984,2436,15.2,0.0242,0.114,0.0451,0.007
Daman & Diu,D&D,272,53,19.5,0.024,0.102,0.0431,0.0084
Gujarat,GJ,9364,1770,18.9,0.0234,0.102,0.0369,0.0123
Goa,GA,757,117,15.5,0.0221,0.0611,0.0337,0.0126
Dadra+Nagar Haveli,DH,314,55,17.5,0.0208,0.0611,0.032,0.0117
Tripura,TR,919,97,10.6,0.0139,0.041,0.0249,0.0049
Pondicherry,PON,418,58,13.9,0.0118,0.0611,0.0054,0.017
Manipur,MN,481,33,6.9,0.0103,0.0,0.0135,0.0076
Meghalaya,ML,686,29,4.2,0.0068,0.0,0.0141,0.0008
Mizoram,MZ,347,4,1.2,0.0028,0.0,0.0062,0.0
Nagaland,NL,508,8,1.6,0.0028,0.0,0.0054,0.0007
