State,SVI,Female_%,Caste_burden
TN,0.5229,55.8,0.488
AP,0.5185,60.4,0.433
PON,0.5129,55.2,0.474
D&D,0.5,50.9,0.491
NL,0.5,50.0,0.5
ML,0.5,55.2,0.448
KA,0.491,55.4,0.428
AR,0.4883,51.6,0.461
CG,0.4882,53.3,0.443
BR,0.4882,56.4,0.412
MP,0.4778,55.8,0.398
ORI,0.474,56.2,0.386
RJ,0.4721,54.3,0.401
SK,0.4683,58.7,0.349
UP,0.4621,55.4,0.371
TR,0.4613,63.9,0.284
JH,0.4609,55.7,0.365
DH,0.4545,52.7,0.382
GJ,0.4497,55.6,0.344
KL,0.4486,56.1,0.336
PB,0.4476,60.3,0.292
UT,0.4424,55.5,0.33
DL,0.4403,55.2,0.328
HR,0.4312,54.6,0.316
MH,0.4282,54.1,0.315
HP,0.4045,59.8,0.211
WB,0.3828,54.6,0.219
CH,0.3814,54.2,0.22
AS,0.3726,51.1,0.235
JK,0.3692,57.6,0.162
GA,0.3269,49.6,0.158
MN,0.2879,54.5,0.03
MZ,0.25,0.0,0.5
