,PC1,PC2
CS5,0.3828559550390704,-0.24210165198259403
CS10,-0.042208325892400866,0.2940865934491366
CS11,0.20226989148055938,0.5253040164525737
CS12,0.2754218460651361,0.46856839731518257
CS13,-0.0027497658539284986,-0.2397441294805856
CS16,0.21201535308671424,-0.24477877796683423
CS24,0.1545959674532144,-0.21576456961496554
CS25,0.4004751516134429,-0.23681218980788513
CS26,0.4411449477471631,0.007735508292666615
CS27,0.4416663568561847,-0.15724931496900968
CS28,0.34051887694545524,0.33850224126910955
