,PC1,PC2
WS7,0.36742472110318064,0.3026246436306851
WS8,0.05953009498975159,0.20843699905700108
WS10,0.4196275487607872,-0.27423400141081694
WS10ANNUAL,0.4964694257731834,-0.154708670667251
WSEARNHOURLY,0.42506204814550674,-0.26789706196445773
WS11MEALSRS,0.08653362783706775,-0.0639425743574181
WS11HOUSERS,0.20292033837675721,-0.1564886794395506
WS12,0.25132533925404776,-0.18286910032472772
WS15,0.1088436073145943,-0.03058470589437547
WS7AGLAB,0.13667220374909922,0.43318684944688646
WSEARNAGLAB,0.12109877013061271,0.39567195949264977
WS7NONAG,0.17012644115097603,0.2577704089141595
WSEARNNONAG,0.18285345615339832,0.17635372083592707
WS7SALARY,0.13979536013163338,0.2866836946620659
WS8SALARY,0.13698022929468967,0.323757420716101
WS7NREGA,-0.022434698836567728,-0.04848486151101031
