SURVEY,STATEID,DISTID,PSUID,HHID,HHSPLITID,PERSONID,IDPSU,IDHH,IDPERSON,WT,FWT,DIST01,DISTRICT,RO3,RO4,RO5,RO6,RO7,RO8,RO9,RO10,FM1,FM36Y,FM37,FM38,FMHOURS,WKFARM,FM39AY,AN1,AN5Y,AN6,AN7Y,NF1,NFBN1,NF9,NF12,NF13,NF15Y,NFBN21,NF29,NF32,NF33,NF35Y,NFBN41,NF49,NF52,NF53,NFDAYS,NFHOURS,NF55Y,IN11S1,IN13S1,IN11S2,IN13S2,IN11S3,IN13S3,IN11S4,IN13S4,IN11S5,IN13S5,IN11S6,IN13S6,IN11S7,IN13S7,IN11S8,IN13S8,IN18,IN19,IN20,IN21,IN22,IN23,IN24,ED2,ED3,ED4,ED5,ED6,EDUC7,EDUNDER1,ED7,ED8,ED9,ED10,ED11,ED12,ED13,MM7Y,MM8,MM9,MM12Y,MM13,MM14,TA3,TA4,TA5,TA6,TA8A,TA8B,TA9A,TA9B,TA10A,TA10B,CS3,CS3Y,CS4,CS5,CS6,CS7,CS8,CS9,CS10,CS11,CS12,CS13,CS16,CS17,CS18,CS19,CS20,CS21,CS22,CS23,CS24,CS25,CS26,CS27,CS28,CH2,CH3,CH4A,CH4B,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH22,SM3,SM4,SM5,SM6,SM7,SM8,SM9,SM10,SM11,SM12,SM14A,SM14B,SM15A,SM15B,SM16,SM17,SM18,SM19,SM20,SM21,SM22,MB3,MB4,MB5,MB6,MB7,MB8,MB9,MB10,MB11,MB12,MB13,MB14,MB15,MB16,MB17,MB18,MB19,MB21A,MB21B,MB22A,MB22B,MB23,MB24,MB25,MB26,MB27,MB28,MB29,AD3,AD4,AD5,AD6,AD7,AD8,AD9,TO3,TO4,TO5,TO6,AP2,AP3,AP5,AP6,AP7,AP8,AP9,EW3Y,URBAN2011,URBAN4_2011,METRO,METRO6,POVLINE2005,POVLINE2012,DEFLATOR,NPERSONS,EWELIGIBLE,EWQELIGIBLE,ID11,ID13,GROUPS,NF5,NF25,NF45,COTOTAL,COPC,ASSETS,ASSETS2005,INCCROP,INCAGPROP,INCANIMAL,INCAG,INCBUS,INCOTHER,INCEARN,INCBENEFITS,INCREMIT,INCOME,INCOMEPC,WKANIMAL,WKBUSINESS,WS3NM,WS4,WS5,WS7,WS7MONTHS,WS8,WS8YEAR,WS9,WS10,WS10ANNUAL,WSEARN,WSEARNHOURLY,WS11,WS11MEALS,WS11HOUSE,WS11MEALSRS,WS11HOUSERS,WS12,WS13,WS14,WS15,WS7AGLAB,WS8AGLAB,WSEARNAGLAB,WKAGLAB,WS7NONAG,WS8NONAG,WSEARNNONAG,WKNONAG,WS7SALARY,WS8SALARY,WSEARNSALARY,WKSALARY,WS7NREGA,WS8NREGA,WSEARNNREGA,WKNREGA,WKDAYS,WKHOURS,WKANY5,RSUNEARN,MHEADAGE,FHEADAGE,NADULTM,NADULTF,NCHILDM,NCHILDF,NTEENM,NTEENF,NELDERM,NELDERF,NMARRIEDM,NMARRIEDF,NWKNONAG,NWKAGLAB,NWKSALARY,NWKBUSINESS,NWKFARM,NWKANIMAL,NWKNREGA,NWKNREGA4,NWKNONNREGA,NWKANY5,INCNONAG,INCAGLAB,INCSALARY,INCNREGA,INCNONNREGA,NNR,HHEDUC,HHEDUCM,HHEDUCF,MG4,MG5,MG6,MG7,MG8,MG9NM,MG10,MG11,MGYEAR5,NMIG5,MGMONTHS5,MGYEAR1,NMIG1,MGMONTHS1
IHDS-II 2,Mizoram 15,0,1,10,1,1.0,150301,1503010101,150301010101,2304.53948814,2305.0,0.0,Mizoram,Male 1,Head 1,89.0,Widowed 3,Retired 10,Dead,,,Yes 1,No 0,,,,none 0,No 0,No 0,,,,Yes 1,hh has 1st business,does not work in 1st hh business,,,No 0,no 2nd hh business,,,,,no 3rd hh business,,,,0.0,0.0,,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,1.0,3.0,100.0,100.0,,1.0,2.0,Yes 1,none,Yes 1,No 0,none 0,none 0,Yes 1,No 0,.a,,,,,.a,No 0,,,No 0,,,,,,,,,,,,,,No 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,No 0,No 0,,No 0,,,,0.0,No 0,,,,,,,0.0,,0.0,0.0,0.0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,0.0,No 0,,,,,,,0.0,,0.0,0.0,0.0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,Rarely 2,Sometimes 3,Sometimes 3,Rarely 2,,,169.0,169.0,Standing 2,62.0,62.0,No 0,rural 0,more dev vill 2,non-metro,,639.27001953125,1158.0,0.5133135914803,7.0,No 0,No 0,Christian 3,Scheduled Tribes (ST) 5,Adivasi 5,344800.0,,,129304.0,18472.0,18.0,17.0,39680.0,,0.0,39680.0,344800.0,0.0,27200.0,0.0,,411680.0,58811.4296875,none 0,none 0,,,,,,,,,,,,,,,,,,,,,,,,,none 0,,,,none 0,,,,none 0,,,,none 0,0.0,0.0,none 0,411680.0,89.0,,2.0,2.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,2.0,0.0,2.0,2.0,0.0,2.0,27200.0,0.0,0.0,27200.0,0.0,0,9th class 9,5th class 5,9th class 9,,,,,,,,,No 0,,,No 0,,
IHDS-II 2,Mizoram 15,0,1,10,1,2.0,150301,1503010101,150301010102,2304.53948814,2305.0,0.0,Mizoram,Male 1,Son/Daughter 3,42.0,Married 1,Nonag wage labour 4,5.0,1.0,Dead,Yes 1,Yes 1,300.0,8.0,2400.0,ft yr (250 days/year or more AND 2000 hours/year or more),Yes 1,No 0,,,,Yes 1,hh has 1st business,works in 1st hh business,300.0,8.0,Yes 1,no 2nd hh business,,,,,no 3rd hh business,,,,300.0,2400.0,,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,1.0,3.0,100.0,100.0,,1.0,2.0,Yes 1,Little 1,Yes 1,No 0,5th class 5,primary 5,No 0,Yes 1,.a,,,,,.a,No 0,,,Yes 1,No 0,Yes 1,,,,,,,,,,,,No 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,No 0,No 0,,No 0,,,,0.0,No 0,,,,,,,0.0,,0.0,0.0,0.0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,0.0,No 0,,,,,,,0.0,,0.0,0.0,0.0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,,,,,,,170.0,170.19999694825,Standing 2,65.0,65.0,No 0,rural 0,more dev vill 2,non-metro,,639.27001953125,1158.0,0.5133135914803,7.0,No 0,No 0,Christian 3,Scheduled Tribes (ST) 5,Adivasi 5,344800.0,,,129304.0,18472.0,18.0,17.0,39680.0,,0.0,39680.0,344800.0,0.0,27200.0,0.0,,411680.0,58811.4296875,none 0,ft yr 4,NREGA,Construction 95,Construction 50,100.0,4.0,9.0,900.0,Per Day 1,136.0,13600.0,13600.0,15.1111106873,No,No 0,No 0,0.0,0.0,0.0,Casual daily 1,MGNREGA 4,0.0,,,,none 0,100.0,900.0,13600.0,parttime 3,,,,none 0,100.0,900.0,13600.0,parttime 3,365.0,4000.0,ft yr 4,31636.375,89.0,,2.0,2.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,2.0,0.0,2.0,2.0,0.0,2.0,27200.0,0.0,0.0,27200.0,0.0,0,9th class 9,5th class 5,9th class 9,,,,,,,,,No 0,,,No 0,,
IHDS-II 2,Mizoram 15,0,1,10,1,3.0,150301,1503010101,150301010103,2304.53948814,2305.0,0.0,Mizoram,Female 2,Son/Daughter 3,39.0,Unmarried 2,Nonag wage labour 4,,1.0,Dead,Yes 1,No 0,,,,none 0,No 0,No 0,,,,Yes 1,hh has 1st business,does not work in 1st hh business,,,No 0,no 2nd hh business,,,,,no 3rd hh business,,,,0.0,0.0,,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,,,,,,,,Yes 1,Little 1,Yes 1,No 0,5th class 5,primary 5,No 0,No 0,.a,,,,,.a,No 0,,,No 0,,,,,,,,,,,,,,No 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,No 0,No 0,,No 0,,,,0.0,No 0,,,,,,,0.0,,0.0,0.0,0.0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,0.0,No 0,,,,,,,0.0,,0.0,0.0,0.0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,,,,,,,,,,,,No 0,rural 0,more dev vill 2,non-metro,,639.27001953125,1158.0,0.5133135914803,7.0,No 0,No 0,Christian 3,Scheduled Tribes (ST) 5,Adivasi 5,344800.0,,,129304.0,18472.0,18.0,17.0,39680.0,,0.0,39680.0,344800.0,0.0,27200.0,0.0,,411680.0,58811.4296875,none 0,none 0,,,,,,,,,,,,,,,,,,,,,,,,,none 0,,,,none 0,,,,none 0,,,,none 0,0.0,0.0,none 0,411680.0,89.0,,2.0,2.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,2.0,0.0,2.0,2.0,0.0,2.0,27200.0,0.0,0.0,27200.0,0.0,0,9th class 9,5th class 5,9th class 9,,,,,,,,,No 0,,,No 0,,
IHDS-II 2,Mizoram 15,0,1,10,1,4.0,150301,1503010101,150301010104,2304.53948814,2305.0,0.0,Mizoram,Female 2,Grandchild 5,14.0,Unmarried 2,Student 12,,2.0,5.0,Yes 1,No 0,,,,none 0,No 0,No 0,,,,Yes 1,hh has 1st business,does not work in 1st hh business,,,No 0,no 2nd hh business,,,,,no 3rd hh business,,,,0.0,0.0,,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,,,,,,,,Yes 1,Little 1,Yes 1,Yes 1,8th class 8,6-9 8,No 0,No 0,.a,,,,,.a,No 0,,,No 0,,,,,,,,,,,,,,No 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,No 0,No 0,,No 0,,,,0.0,No 0,,,,,,,0.0,,0.0,0.0,0.0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,0.0,No 0,,,,,,,0.0,,0.0,0.0,0.0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,,,,,,,,,,,,No 0,rural 0,more dev vill 2,non-metro,,639.27001953125,1158.0,0.5133135914803,7.0,No 0,No 0,Christian 3,Scheduled Tribes (ST) 5,Adivasi 5,344800.0,,,129304.0,18472.0,18.0,17.0,39680.0,,0.0,39680.0,344800.0,0.0,27200.0,0.0,,411680.0,58811.4296875,none 0,none 0,,,,,,,,,,,,,,,,,,,,,,,,,none 0,,,,none 0,,,,none 0,,,,none 0,0.0,0.0,none 0,411680.0,89.0,,2.0,2.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,2.0,0.0,2.0,2.0,0.0,2.0,27200.0,0.0,0.0,27200.0,0.0,0,9th class 9,5th class 5,9th class 9,,,,,,,,,No 0,,,No 0,,
IHDS-II 2,Mizoram 15,0,1,10,1,5.0,150301,1503010101,150301010105,2304.53948814,2305.0,0.0,Mizoram,Female 2,Child-in-Law 4,34.0,Married 1,Housework 11,2.0,,,Yes 1,Yes 1,250.0,8.0,2000.0,ft yr (250 days/year or more AND 2000 hours/year or more),No 0,No 0,,,,Yes 1,hh has 1st business,does not work in 1st hh business,,,No 0,no 2nd hh business,,,,,no 3rd hh business,,,,0.0,0.0,,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,,,,,,,,Yes 1,Little 1,Yes 1,No 0,9th class 9,6-9 8,No 0,Yes 1,.a,,,,,.a,No 0,,,Yes 1,No 0,Yes 1,,,,,,,,,,,,No 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,No 0,No 0,,No 0,,,,0.0,No 0,,,,,,,0.0,,0.0,0.0,0.0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,0.0,No 0,,,,,,,0.0,,0.0,0.0,0.0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,,,,,,,,,,,,No 0,rural 0,more dev vill 2,non-metro,,639.27001953125,1158.0,0.5133135914803,7.0,Yes 1,No 0,Christian 3,Scheduled Tribes (ST) 5,Adivasi 5,344800.0,,,129304.0,18472.0,18.0,17.0,39680.0,,0.0,39680.0,344800.0,0.0,27200.0,0.0,,411680.0,58811.4296875,none 0,none 0,NREGA,Construction 95,Construction 50,100.0,4.0,9.0,900.0,Per Day 1,136.0,13600.0,13600.0,15.1111106873,No,No 0,No 0,0.0,0.0,0.0,Casual daily 1,MGNREGA 4,0.0,,,,none 0,100.0,900.0,13600.0,parttime 3,,,,none 0,100.0,900.0,13600.0,parttime 3,350.0,2900.0,ft yr 4,380043.625,89.0,,2.0,2.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,2.0,0.0,2.0,2.0,0.0,2.0,27200.0,0.0,0.0,27200.0,0.0,0,9th class 9,5th class 5,9th class 9,,,,,,,,,No 0,,,No 0,,
IHDS-II 2,Mizoram 15,0,1,10,1,6.0,150301,1503010101,150301010106,2304.53948814,2305.0,0.0,Mizoram,Female 2,Grandchild 5,7.0,Unmarried 2,Student 12,,2.0,5.0,Yes 1,No 0,,,,none 0,No 0,No 0,,,,Yes 1,hh has 1st business,does not work in 1st hh business,,,No 0,no 2nd hh business,,,,,no 3rd hh business,,,,0.0,0.0,,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,,,,,,,,Yes 1,Little 1,Yes 1,Yes 1,none 0,none 0,Yes 1,No 0,.a,,,,,.a,No 0,,,No 0,,,,,,,,,,,,,School 1,Yes 1,Government 2,1.0,none 0,,English 11,none 0,20.0,3.0,,3.0,,,,,,Yes 1,Yes 1,No 0,0.0,0.0,0.0,300.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,No 0,No 0,,No 0,,,,0.0,No 0,,,,,,,0.0,,0.0,0.0,0.0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,0.0,No 0,,,,,,,0.0,,0.0,0.0,0.0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,,,,,,,,,,,,No 0,rural 0,more dev vill 2,non-metro,,639.27001953125,1158.0,0.5133135914803,7.0,No 0,No 0,Christian 3,Scheduled Tribes (ST) 5,Adivasi 5,344800.0,,,129304.0,18472.0,18.0,17.0,39680.0,,0.0,39680.0,344800.0,0.0,27200.0,0.0,,411680.0,58811.4296875,none 0,none 0,,,,,,,,,,,,,,,,,,,,,,,,,none 0,,,,none 0,,,,none 0,,,,none 0,0.0,0.0,none 0,411680.0,89.0,,2.0,2.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,2.0,0.0,2.0,2.0,0.0,2.0,27200.0,0.0,0.0,27200.0,0.0,0,9th class 9,5th class 5,9th class 9,,,,,,,,,No 0,,,No 0,,
IHDS-II 2,Mizoram 15,0,1,10,1,7.0,150301,1503010101,150301010107,2304.53948814,2305.0,0.0,Mizoram,Female 2,Grandchild 5,6.0,Unmarried 2,Student 12,,2.0,5.0,Yes 1,No 0,,,,none 0,No 0,No 0,,,,Yes 1,hh has 1st business,does not work in 1st hh business,,,No 0,no 2nd hh business,,,,,no 3rd hh business,,,,0.0,0.0,,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,,,,,,,,Yes 1,none,Yes 1,Yes 1,none 0,none 0,Yes 1,No 0,.a,,,,,.a,No 0,,,No 0,,,,,,,,,,,,,School 1,Yes 1,Government 2,1.0,none 0,,English 11,none 0,20.0,3.0,,3.0,,,,,,Yes 1,Yes 1,No 0,0.0,0.0,0.0,300.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,No 0,No 0,,No 0,,,,0.0,No 0,,,,,,,0.0,,0.0,0.0,0.0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,0.0,No 0,,,,,,,0.0,,0.0,0.0,0.0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,,,,,,,,,,,,No 0,rural 0,more dev vill 2,non-metro,,639.27001953125,1158.0,0.5133135914803,7.0,No 0,No 0,Christian 3,Scheduled Tribes (ST) 5,Adivasi 5,344800.0,,,129304.0,18472.0,18.0,17.0,39680.0,,0.0,39680.0,344800.0,0.0,27200.0,0.0,,411680.0,58811.4296875,none 0,none 0,,,,,,,,,,,,,,,,,,,,,,,,,none 0,,,,none 0,,,,none 0,,,,none 0,0.0,0.0,none 0,411680.0,89.0,,2.0,2.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,2.0,0.0,2.0,2.0,0.0,2.0,27200.0,0.0,0.0,27200.0,0.0,0,9th class 9,5th class 5,9th class 9,,,,,,,,,No 0,,,No 0,,
IHDS-II 2,Mizoram 15,0,1,20,1,1.0,150301,1503010201,150301020101,2304.53948814,2305.0,0.0,Mizoram,Male 1,Head 1,55.0,Married 1,Salaried 8,2.0,,,Yes 1,Yes 1,30.0,5.0,150.0,<240hrs 2,Yes 1,Yes 1,Yes 1,Sometimes 1,No 0,No 0,no 1st hh business,,,,,no 2nd hh business,,,,,no 3rd hh business,,,,0.0,0.0,,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,1.0,6.0,100.0,100.0,,2.0,1.0,Yes 1,none,Yes 1,No 0,none 0,none 0,Yes 1,Yes 1,.a,,,,,.a,No 0,,,Yes 1,No 0,No 0,,,,,,,,,,,,No 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,No 0,No 0,,No 0,,,,0.0,No 0,,,,,,,0.0,,0.0,0.0,0.0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,0.0,No 0,,,,,,,0.0,,0.0,0.0,0.0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,Sometimes 3,Sometimes 3,Sometimes 3,Never 1,,,,,,,,No 0,rural 0,more dev vill 2,non-metro,,639.27001953125,1158.0,0.5133135914803,6.0,No 0,No 0,Christian 3,Scheduled Tribes (ST) 5,Adivasi 5,,,,347864.0,57977.3320313,21.0,20.0,3100.0,0.0,3150.0,6250.0,,0.0,157600.0,13600.0,36000.0,213450.0,35575.0,<240hrs 2,none 0,PLUMBERS IN PHK DEPT,Plumbers/welders 87,Medical 93,240.0,9.60000038147,10.0,2400.0,Per Month 2,15000.0,144000.0,144000.0,60.0,No,No 0,No 0,0.0,0.0,0.0,Regular/Permanent/Longer contract,Govt/PSU 1,60.0,,,,none 0,,,,none 0,240.0,2400.0,144000.0,parttime 3,,,,none 0,270.0,2550.0,ft yr 4,68042.5,55.0,57.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,13600.0,0.0,144000.0,13600.0,0.0,4,5th class 5,none 0,5th class 5,,,,,,,,,No 0,,,No 0,,
IHDS-II 2,Mizoram 15,0,1,20,1,2.0,150301,1503010201,150301020102,2304.53948814,2305.0,0.0,Mizoram,Female 2,Wife/Husband 2,57.0,Married 1,Housework 11,1.0,,,Yes 1,Yes 1,40.0,5.0,200.0,<240hrs 2,No 0,Yes 1,Yes 1,Usually 2,Yes 1,No 0,no 1st hh business,,,,,no 2nd hh business,,,,,no 3rd hh business,,,,0.0,0.0,,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,Yes 1,13600.0,No 0,0.0,No 0,0.0,1.0,6.0,100.0,100.0,,2.0,1.0,Yes 1,none,Yes 1,No 0,5th class 5,primary 5,No 0,Yes 1,.a,,,,,.a,No 0,,,Yes 1,No 0,No 0,,,,,,,,,,,,No 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,No 0,No 0,,No 0,,,,0.0,No 0,,,,,,,0.0,,0.0,0.0,0.0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,0.0,No 0,,,,,,,0.0,,0.0,0.0,0.0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,,,,,,,152.30000305176,152.30000305176,Standing 2,47.79999923707,47.79999923707,No 0,rural 0,more dev vill 2,non-metro,,639.27001953125,1158.0,0.5133135914803,6.0,No 0,No 0,Christian 3,Scheduled Tribes (ST) 5,Adivasi 5,,,,347864.0,57977.3320313,21.0,20.0,3100.0,0.0,3150.0,6250.0,,0.0,157600.0,13600.0,36000.0,213450.0,35575.0,parttime 3,none 0,MGNREGA,Construction 95,Construction 50,100.0,4.0,10.0,1000.0,Per Day 1,136.0,13600.0,13600.0,13.6000003815,No,No 0,No 0,0.0,0.0,0.0,Casual daily 1,MGNREGA 4,60.0,,,,none 0,100.0,1000.0,13600.0,parttime 3,,,,none 0,100.0,1000.0,13600.0,parttime 3,140.0,1200.0,parttime 3,199023.328125,55.0,57.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,13600.0,0.0,144000.0,13600.0,0.0,4,5th class 5,none 0,5th class 5,,,,,,,,,No 0,,,No 0,,
IHDS-II 2,Mizoram 15,0,1,20,1,5.0,150301,1503010201,150301020105,2304.53948814,2305.0,0.0,Mizoram,Female 2,Son/Daughter 3,28.0,Unmarried 2,Housework 11,,1.0,2.0,Yes 1,Yes 1,20.0,5.0,100.0,<240hrs 2,No 0,Yes 1,Yes 1,Sometimes 1,No 0,No 0,no 1st hh business,,,,,no 2nd hh business,,,,,no 3rd hh business,,,,0.0,0.0,,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,No 0,0.0,,,,,,,,Yes 1,Little 1,Yes 1,No 0,5th class 5,primary 5,No 0,Yes 1,.a,,,,,.a,No 0,,,Yes 1,No 0,Yes 1,,,,,,,,,,,,No 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,No 0,No 0,,No 0,,,,0.0,No 0,,,,,,,0.0,,0.0,0.0,0.0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,No 0,0.0,No 0,,,,,,,0.0,,0.0,0.0,0.0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,No Difficulty 0,,,,,,,,,,,,No 0,rural 0,more dev vill 2,non-metro,,639.27001953125,1158.0,0.5133135914803,6.0,No 0,No 0,Christian 3,Scheduled Tribes (ST) 5,Adivasi 5,,,,347864.0,57977.3320313,21.0,20.0,3100.0,0.0,3150.0,6250.0,,0.0,157600.0,13600.0,36000.0,213450.0,35575.0,<240hrs 2,none 0,,,,,,,,,,,,,,,,,,,,,,,,,none 0,,,,none 0,,,,none 0,,,,none 0,20.0,100.0,<240hrs 2,212249.171875,55.0,57.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,13600.0,0.0,144000.0,13600.0,0.0,4,5th class 5,none 0,5th class 5,,,,,,,,,No 0,,,No 0,,
